video_name,offset
ch01_20181102180103,-1
ch01_20181206180018,-1
ch01_20181206182835,0
ch01_20190103180000,-3
ch01_20190103180633,0
ch01_20190103180646,-1
ch02_20181102190528,0
ch02_20181206180000,-6
ch02_20181206182345,-1
ch02_20190103180000,-8
ch02_20190103180646,-1
ch03_20181102180000,-3
ch03_20181206180000,-1
ch03_20181206182355,-1
ch03_20190103180048,0
ch03_20190103180646,-1
ch04_20181102190313,-1
ch04_20181206180000,-4
ch04_20181206182755,0
ch04_20181206185613,-1
ch04_20190103180000,-3
ch04_20190103180646,-1
ch05_20181102180000,-3
ch05_20181102180912,-1
ch05_20181206180000,-2
ch05_20181206180842,0
ch05_20181206183657,0
ch05_20190103180000,-3
ch05_20190103180643,0
ch06_20181102180000,-3
ch06_20181206180000,-2
ch06_20181206182440,-1
ch06_20190103180000,-3
ch06_20190103180458,0
ch06_20190103180643,0
ch07_20181102185618,-1
ch07_20181206180000,-2
ch07_20181206181230,-1
ch07_20181206184047,0
ch07_20181206190903,-1
ch07_20190103180000,-3
ch07_20190103180646,-1
ch08_20181102183908,-1
ch08_20181102190725,-1
ch08_20181206180000,-2
ch08_20181206180700,-1
ch08_20181206183515,-1
ch08_20181206190333,-1
ch08_20190103180000,-4
ch08_20190103180646,-1
ch01_20181102132623,1
ch01_20181102142257,0
ch01_20181102163433,0
ch01_20181102170249,0
ch01_20181104133159,0
ch01_20181104155324,0
ch01_20181104162142,0
ch01_20181104164957,1
ch01_20181104213244,0
ch01_20181206130713,0
ch01_20181206144854,0
ch01_20181207103550,1
ch01_20181207145020,0
ch01_20181207154656,1
ch01_20190104074403,0
ch01_20190104093711,1
ch01_20190104100528,0
ch01_20190105085208,0
ch01_20190105121008,0
ch01_20190328123440,0
ch01_20190328130258,0
ch01_20190328133115,0
ch01_20190328152420,0
ch01_20190328155237,0
ch01_20190328162055,1
ch01_20190329072351,0
ch01_20190329094514,1
ch01_20190329113821,0
ch01_20190329120639,0
ch01_20190329130314,0
ch02_20181102161433,0
ch02_20181102172505,1
ch02_20181103114530,0
ch02_20181103125600,0
ch02_20181103140633,0
ch02_20181103162730,0
ch02_20181206145837,0
ch02_20181208132953,0
ch02_20181208192223,0
ch02_20190103163909,1
ch02_20190330095538,0
ch02_20190330110606,1
ch02_20190330121636,0
ch02_20190330132706,1
ch03_20181102132432,-1
ch03_20181102135250,1
ch03_20181102142105,0
ch03_20181102163239,1
ch03_20181102170054,0
ch03_20181102172912,0
ch03_20181104114917,1
ch03_20181104121734,1
ch03_20181104124551,0
ch03_20181104131409,0
ch03_20181104134227,0
ch03_20181104160354,0
ch03_20181104163209,1
ch03_20181104204642,-1
ch03_20181104211500,1
ch03_20181206123423,1
ch03_20181206130241,1
ch03_20181206151240,1
ch03_20181206154057,0
ch03_20181207102309,0
ch03_20181207121620,1
ch03_20181207124435,0
ch03_20181207140925,1
ch03_20181207143740,0
ch03_20181207150557,0
ch03_20181207153415,0
ch03_20190103153600,0
ch03_20190103160415,0
ch03_20190103163233,-1
ch03_20190104075644,0
ch03_20190104092133,0
ch03_20190104094951,1
ch03_20190105113623,1
ch03_20190105142603,0
ch03_20190105145421,0
ch03_20190328121953,1
ch03_20190328131625,0
ch03_20190328134440,0
ch03_20190328150931,1
ch03_20190328153747,0
ch03_20190328160605,1
ch03_20190329072349,1
ch03_20190329091654,1
ch03_20190329094511,0
ch03_20190329101326,0
ch03_20190329120634,0
ch03_20190329123452,1
ch03_20190329130309,0
ch04_20181103115910,1
ch04_20181206154459,0
ch04_20181208110957,0
ch04_20181208133123,1
ch04_20181208162108,0
ch04_20181208191051,0
ch08_20181102161606,1
ch08_20181102164421,1
ch08_20181102171236,1
ch08_20181102181052,1
ch08_20181103114920,1
ch08_20181103120140,1
ch08_20181103121737,0
ch08_20181103124555,0
ch08_20181103141045,1
ch08_20181103143902,0
ch08_20181103163210,1
ch08_20181103170027,0
ch08_20181206145545,0
ch08_20181206152402,1
ch08_20181208110043,1
ch08_20181208112901,1
ch08_20181208132211,1
ch08_20181208135026,1
ch08_20181208141843,0
ch08_20181208161151,1
ch08_20181208164008,0
ch08_20181208170823,0
ch08_20181208173641,1
ch08_20181208192953,1
ch08_20190103120546,1
ch08_20190103123400,1
ch08_20190103130218,0
ch08_20190103152341,1
ch08_20190103155158,0
ch08_20190103162016,1
ch08_20190103164831,1
ch08_20190104073251,1
ch08_20190104092558,0
ch08_20190104095416,1
ch08_20190104102234,0
ch08_20190104121539,1
ch08_20190104124357,1
ch08_20190104131214,1
ch08_20190104143704,1
ch08_20190104150522,1
ch08_20190330120044,1
ch08_20190330122901,1
ch08_20190330132536,0
ch01_20181102135440,1
ch01_20181104120706,0
ch01_20181104130341,0
ch01_20181104210427,1
ch01_20181206123857,0
ch01_20181206151712,0
ch01_20181207100732,0
ch01_20181207120042,0
ch01_20181207122858,0
ch01_20181207135347,0
ch01_20181207142205,0
ch01_20190103154143,0
ch01_20190103161000,0
ch01_20190103163816,0
ch01_20190105111333,0
ch01_20190105114151,1
ch01_20190105143133,0
ch01_20190105145951,1
ch01_20190105152808,0
ch01_20190329091656,0
ch01_20190329101331,0
ch01_20190329123457,1
ch02_20181102180000,6
ch02_20181103120140,0
ch02_20181208110853,1
ch02_20181208155051,1
ch02_20181208170123,0
ch02_20190103115708,1
ch02_20190103130740,0
ch02_20190103152840,0
ch02_20190104072854,1
ch02_20190104083923,0
ch02_20190104094951,0
ch02_20190104121051,0
ch02_20190104143151,0
ch02_20190328145803,1
ch02_20190328160835,1
ch02_20190328171905,0
ch02_20190330084508,0
ch03_20181206144511,4
ch03_20181207114803,1
ch03_20190104101809,0
ch03_20190105084641,0
ch03_20190105110808,0
ch03_20190105120438,0
ch03_20190105152238,0
ch03_20190328124810,0
ch03_20190329113819,0
ch04_20181102161155,0
ch04_20181102164011,0
ch04_20181102170827,1
ch04_20181102180000,3
ch04_20181102180640,1
ch04_20181102183457,0
ch04_20181103120140,1
ch04_20181103122728,1
ch04_20181103125545,1
ch04_20181103142033,1
ch04_20181103144851,0
ch04_20181103164157,0
ch04_20181103171015,0
ch04_20181206144826,0
ch04_20181206151645,1
ch04_20181208113816,1
ch04_20181208135940,-1
ch04_20181208164926,0
ch04_20181208171741,1
ch04_20190103122358,1
ch04_20190103125215,0
ch04_20190103154153,0
ch04_20190103161010,0
ch04_20190103163826,0
ch04_20190104074014,1
ch04_20190104093317,1
ch04_20190104100134,1
ch04_20190104102951,0
ch04_20190104122256,0
ch04_20190104125114,0
ch04_20190104144422,1
ch04_20190104151240,1
ch04_20190328152410,0
ch04_20190328155227,-1
ch04_20190328162045,1
ch04_20190328164903,1
ch04_20190328171720,0
ch04_20190330082856,0
ch04_20190330085714,1
ch04_20190330102204,0
ch04_20190330105022,1
ch04_20190330111839,1
ch04_20190330114655,0
ch04_20190330121510,0
ch04_20190330124328,0
ch04_20190330131146,1
ch05_20181102130622,0
ch05_20181102133440,1
ch05_20181102140254,0
ch05_20181102161428,0
ch05_20181102164244,1
ch05_20181102171059,1
ch05_20181104120226,0
ch05_20181104125859,0
ch05_20181104132716,-1
ch05_20181104135531,0
ch05_20181104161657,1
ch05_20181104164511,0
ch05_20181104205944,0
ch05_20181104212802,1
ch05_20181206121915,1
ch05_20181206124730,0
ch05_20181206131545,1
ch05_20181206145727,0
ch05_20181206152544,0
ch05_20181207101912,0
ch05_20181207114402,0
ch05_20181207121220,1
ch05_20181207124037,0
ch05_20181207140528,1
ch05_20181207143343,1
ch05_20181207150200,1
ch05_20181207153017,-1
ch05_20181207155833,0
ch05_20190103152741,1
ch05_20190103155558,0
ch05_20190103162416,1
ch05_20190103165231,1
ch05_20190104073719,0
ch05_20190104093027,1
ch05_20190104095841,1
ch05_20190104102659,1
ch05_20190105084225,1
ch05_20190105110351,1
ch05_20190105113205,0
ch05_20190105120023,0
ch05_20190105142146,1
ch05_20190105145003,0
ch05_20190105151821,1
ch05_20190328123747,0
ch05_20190328130605,1
ch05_20190328133422,0
ch05_20190328145913,1
ch05_20190328152730,1
ch05_20190328155547,0
ch05_20190328162405,1
ch05_20190329072446,1
ch05_20190329091751,1
ch05_20190329094609,1
ch05_20190329101424,1
ch05_20190329113919,1
ch05_20190329120737,0
ch05_20190329123551,1
ch05_20190329130409,1
ch06_20181102132122,1
ch06_20181102134937,0
ch06_20181102141755,1
ch06_20181102162931,1
ch06_20181102165747,0
ch06_20181102172605,1
ch06_20181104114836,0
ch06_20181104121653,1
ch06_20181104124511,1
ch06_20181104131326,1
ch06_20181104134144,1
ch06_20181104160309,1
ch06_20181104163124,1
ch06_20181104204552,1
ch06_20181104211407,0
ch06_20181206123510,1
ch06_20181206130328,0
ch06_20181206144510,0
ch06_20181206151327,0
ch06_20181206154142,1
ch06_20181207102022,1
ch06_20181207114512,0
ch06_20181207121327,0
ch06_20181207124143,1
ch06_20181207140633,1
ch06_20181207143448,1
ch06_20181207150304,-1
ch06_20181207153120,1
ch06_20181207155938,1
ch06_20190103154006,1
ch06_20190103160823,1
ch06_20190103163641,1
ch06_20190104073658,0
ch06_20190104093009,1
ch06_20190104095826,0
ch06_20190104102644,1
ch06_20190105084618,1
ch06_20190105110740,1
ch06_20190105113558,1
ch06_20190105120413,1
ch06_20190105142533,0
ch06_20190105145351,1
ch06_20190105152208,0
ch06_20190328123927,0
ch06_20190328130742,1
ch06_20190328133600,1
ch06_20190328150050,1
ch06_20190328152908,1
ch06_20190328155725,1
ch06_20190328162540,1
ch06_20190329072856,0
ch06_20190329092204,1
ch06_20190329095019,1
ch06_20190329101837,1
ch06_20190329114329,0
ch06_20190329121144,0
ch06_20190329124001,1
ch06_20190329130817,1
ch07_20181102163316,1
ch07_20181102170132,1
ch07_20181102172946,0
ch07_20181102180000,3
ch07_20181102182800,1
ch07_20181103115700,1
ch07_20181103120140,1
ch07_20181103122517,1
ch07_20181103125335,1
ch07_20181103141825,0
ch07_20181103144642,1
ch07_20181103163947,0
ch07_20181103170805,1
ch07_20181206150117,1
ch07_20181206152932,0
ch07_20181208112408,0
ch07_20181208131713,0
ch07_20181208134530,0
ch07_20181208141346,1
ch07_20181208163509,1
ch07_20181208170323,1
ch07_20181208173141,1
ch07_20181208192451,1
ch07_20190103121323,0
ch07_20190103124140,0
ch07_20190103130955,0
ch07_20190103153120,1
ch07_20190103155936,1
ch07_20190103162753,-1
ch07_20190104073939,1
ch07_20190104093244,1
ch07_20190104100101,0
ch07_20190104102919,1
ch07_20190104122224,1
ch07_20190104125041,0
ch07_20190104144347,1
ch07_20190104151205,1
ch07_20190328152500,1
ch07_20190328155317,0
ch07_20190328162135,1
ch07_20190328164952,0
ch07_20190328171810,1
ch07_20190330083108,0
ch07_20190330085926,1
ch07_20190330102414,1
ch07_20190330105232,1
ch07_20190330112046,1
ch07_20190330114903,1
ch07_20190330121721,1
ch07_20190330124538,0
ch07_20190330131356,1
ch08_20181102180000,4
ch08_20190328152540,1
ch08_20190328155357,1
ch08_20190328162215,1
ch08_20190328165032,1
ch08_20190328171850,1
ch08_20190330084246,1
ch08_20190330103554,1
ch08_20190330110411,0
ch08_20190330125718,1
